RK,NAME,TEAM,SALARY,YEAR
509,Jahmi'us Ramsey,Sacramento Kings,1000000,2021
510,Paul Millsap,Denver Nuggets,1000000,2021
511,Gorgui Dieng,San Antonio Spurs,1000000,2021
512,Ron Baker,Washington Wizards,948580,2021
513,Daniel Oturu,LA Clippers,898310,2021
514,Sam Merrill,Milwaukee Bucks,898310,2021
515,Anthony Gill,Washington Wizards,898310,2021
516,Elijah Hughes,Utah Jazz,898310,2021
517,Stanton Kidd,Utah Jazz,898310,2021
518,Tre Jones,San Antonio Spurs,898310,2021
519,CJ Elleby,Portland Trail Blazers,898310,2021
520,Isaiah Joe,Philadelphia 76ers,898310,2021
521,Jordan Nwora,Milwaukee Bucks,898310,2021
522,Max Strus,Miami Heat,898310,2021
523,Kenyon Martin Jr.,Houston Rockets,898310,2021
524,Deividas Sirvydis,Detroit Pistons,898310,2021
525,Isaiah Briscoe,Orlando Magic,838464,2021
526,Andre Drummond,Los Angeles Lakers,794536,2021
527,Blake Griffin,Brooklyn Nets,776983,2021
528,Oshae Brissett,Indiana Pacers,757453,2021
529,Ersan Ilyasova,Utah Jazz,754783,2021
530,Chimezie Metu,Sacramento Kings,700000,2021
531,Timothe Luwawu-Cabarrot,Brooklyn Nets,654469,2021
532,Lamar Stevens,Cleveland Cavaliers,652366,2021
533,Paul Reed,Philadelphia 76ers,609128,2021
534,Jeff Teague,Milwaukee Bucks,510589,2021
535,Norvel Pelle,New York Knicks,500000,2021
536,Dewayne Dedmon,Miami Heat,432890,2021
537,Nemanja Bjelica,Miami Heat,432890,2021
538,Jabari Parker,Boston Celtics,430729,2021
539,Alize Johnson,Brooklyn Nets,399591,2021
540,Tyler Cook,Brooklyn Nets,396081,2021
541,Dion Waiters,Los Angeles Lakers,375385,2021
542,Juan Toscano-Anderson,Golden State Warriors,358295,2021
543,Yuta Watanabe,Toronto Raptors,321893,2021
544,Anthony Tolliver,Philadelphia 76ers,263501,2021
545,Tim Frazier,Memphis Grizzlies,255294,2021
546,Khyri Thomas,Houston Rockets,250000,2021
547,Damian Jones,Sacramento Kings,237965,2021
548,DeMarcus Cousins,LA Clippers,233095,2021
549,Moritz Wagner,Orlando Magic,221995,2021
550,Yogi Ferrell,LA Clippers,214169,2021
551,Rondae Hollis-Jefferson,Portland Trail Blazers,210895,2021
552,Jimmer Fredette,Phoenix Suns,208509,2021
553,Austin Rivers,Denver Nuggets,188696,2021
554,Devonte' Graham,Charlotte Hornets,163861,2021
555,Mamadi Diakite,Milwaukee Bucks,160173,2021
556,Mfiondu Kabengele,Cleveland Cavaliers,154433,2021
557,Didi Louzada,New Orleans Pelicans,123056,2021
558,Naji Marshall,New Orleans Pelicans,120000,2021
559,Freddie Gillespie,Toronto Raptors,116903,2021
560,Ignas Brazdeikis,Orlando Magic,49510,2021
561,Mike James,Brooklyn Nets,39608,2021
562,Elijah Bryant,Milwaukee Bucks,24611,2021
563,Caleb Homesley,Washington Wizards,20000,2021
564,Charlie Brown Jr.,Oklahoma City Thunder,19804,2021
565,Omer Yurtseven,Miami Heat,18458,2021
566,Gary Payton II,Golden State Warriors,11898,2021
