RK,NAME,TEAM,SALARY,YEAR
117,Omer Asik,Chicago Bulls,11286516,2021
118,Dwight Powell,Dallas Mavericks,11080125,2021
119,Lonzo Ball,New Orleans Pelicans,11003782,2021
120,Norman Powell,Portland Trail Blazers,10865952,2021
121,Josh Richardson,Dallas Mavericks,10865952,2021
122,Joe Ingles,Utah Jazz,10863637,2021
123,Jeremy Lamb,Indiana Pacers,10500000,2021
124,DeAndre Jordan,Brooklyn Nets,10375678,2021
125,Zion Williamson,New Orleans Pelicans,10245480,2021
126,Rodney Hood,Toronto Raptors,10047450,2021
127,Darren Collison,Indiana Pacers,10000000,2021
128,Tomas Satoransky,Chicago Bulls,10000000,2021
129,Jayson Tatum,Boston Celtics,9897120,2021
130,Anthony Edwards,Minnesota Timberwolves,9757440,2021
131,Al-Farouq Aminu,Chicago Bulls,9720900,2021
132,Dante Exum,Cleveland Cavaliers,9600000,2021
133,George Hill,Philadelphia 76ers,9590602,2021
134,De'Anthony Melton,Memphis Grizzlies,9571712,2021
135,Deandre Ayton,Phoenix Suns,9562920,2021
136,Kyle Anderson,Memphis Grizzlies,9505100,2021
137,Meyers Leonard,Miami Heat,9400000,2021
138,Montrezl Harrell,Los Angeles Lakers,9258000,2021
139,Derrick Favors,Utah Jazz,9258000,2021
140,Tristan Thompson,Boston Celtics,9258000,2021
141,Jae Crowder,Phoenix Suns,9258000,2021
142,Serge Ibaka,LA Clippers,9258000,2021
143,Derrick Jones Jr.,Portland Trail Blazers,9258000,2021
144,Dario Saric,Phoenix Suns,9250000,2021
145,Ja Morant,Memphis Grizzlies,9166800,2021
146,Delon Wright,Sacramento Kings,9000000,2021
147,Marvin Bagley III,Sacramento Kings,8963640,2021
148,Cedi Osman,Cleveland Cavaliers,8840580,2021
149,Tyus Jones,Memphis Grizzlies,8817143,2021
150,James Wiseman,Golden State Warriors,8730240,2021
151,Royce O'Neale,Utah Jazz,8500000,2021
152,Thomas Bryant,Washington Wizards,8333333,2021
153,C.J. Miles,Washington Wizards,8333333,2021
154,Maxi Kleber,Dallas Mavericks,8325000,2021
155,RJ Barrett,New York Knicks,8231760,2021
156,Jakob Poeltl,San Antonio Spurs,8101852,2021
157,De'Aaron Fox,Sacramento Kings,8099627,2021
158,Luka Doncic,Dallas Mavericks,8049360,2021
159,Mason Plumlee,Detroit Pistons,8000000,2021
160,Lou Williams,Atlanta Hawks,8000000,2021
161,P.J. Tucker,Milwaukee Bucks,7969537,2021
162,LaMelo Ball,Charlotte Hornets,7839960,2021
163,Seth Curry,Philadelphia 76ers,7834449,2021
164,Derrick Rose,New York Knicks,7682927,2021
165,Cristiano Felicio,Chicago Bulls,7529020,2021
166,Rajon Rondo,LA Clippers,7500000,2021
167,Darrell Arthur,Phoenix Suns,7464912,2021
168,De'Andre Hunter,Atlanta Hawks,7422000,2021
169,Jonathan Isaac,Orlando Magic,7362566,2021
170,Doug McDermott,Indiana Pacers,7333333,2021
171,Robin Lopez,Washington Wizards,7300000,2021
172,Jaren Jackson Jr.,Memphis Grizzlies,7257360,2021
173,JaMychal Green,Denver Nuggets,7199760,2021
174,Patrick Williams,Chicago Bulls,7068360,2021
175,Aron Baynes,Toronto Raptors,7000000,2021
176,Darius Miller,Oklahoma City Thunder,7000000,2021
177,Ivica Zubac,LA Clippers,7000000,2021
178,Chris Boucher,Toronto Raptors,6750000,2021
179,Lauri Markkanen,Chicago Bulls,6731508,2021
180,Darius Garland,Cleveland Cavaliers,6720720,2021
181,D.J. Augustin,Houston Rockets,6666667,2021
182,Trae Young,Atlanta Hawks,6571800,2021
183,Juancho Hernangomez,Minnesota Timberwolves,6493000,2021
184,Isaac Okoro,Cleveland Cavaliers,6400920,2021
185,Milos Teodosic,LA Clippers,6300000,2021
186,Frank Ntilikina,New York Knicks,6176578,2021
187,Wesley Johnson,Washington Wizards,6134520,2021
188,Jarrett Culver,Minnesota Timberwolves,6104280,2021
189,Ish Smith,Washington Wizards,6000000,2021
190,Alec Burks,New York Knicks,6000000,2021
191,Mo Bamba,Orlando Magic,5969040,2021
192,Onyeka Okongwu,Atlanta Hawks,5813640,2021
193,Justin Holiday,Indiana Pacers,5720000,2021
194,Jonathon Simmons,Washington Wizards,5700000,2021
195,Dennis Smith Jr.,Detroit Pistons,5686677,2021
196,Avery Bradley,Houston Rockets,5635000,2021
197,Coby White,Chicago Bulls,5572680,2021
198,Trey Lyles,San Antonio Spurs,5500000,2021
199,Alex Abrines,Oklahoma City Thunder,5455236,2021
200,Jason Smith,New Orleans Pelicans,5450000,2021
201,Wendell Carter Jr.,Orlando Magic,5448840,2021
202,Zach Collins,San Antonio Spurs,5406255,2021
203,Malik Monk,Charlotte Hornets,5345687,2021
204,Killian Hayes,Detroit Pistons,5307120,2021
205,Alexis Ajinca,LA Clippers,5285394,2021
206,Luke Kennard,LA Clippers,5273826,2021
207,Donovan Mitchell,Utah Jazz,5195501,2021
208,Rodney McGruder,Detroit Pistons,5192307,2021
209,Bam Adebayo,Miami Heat,5115492,2021
210,Jaxson Hayes,New Orleans Pelicans,5105160,2021
211,Richaun Holmes,Sacramento Kings,5005350,2021
212,Mike Scott,Philadelphia 76ers,5005350,2021
213,Ed Davis,Minnesota Timberwolves,5005350,2021
214,Enes Kanter,Portland Trail Blazers,5005350,2021
215,Elfrid Payton,New York Knicks,5000000,2021
216,Nerlens Noel,New York Knicks,5000000,2021
217,Daniel Theis,Chicago Bulls,5000000,2021
218,Dirk Nowitzki,Dallas Mavericks,5000000,2021
219,Kyle Singler,Oklahoma City Thunder,4996000,2021
220,Collin Sexton,Cleveland Cavaliers,4991880,2021
221,Pat Connaughton,Milwaukee Bucks,4938272,2021
222,Obi Toppin,New York Knicks,4862040,2021
223,Josh Jackson,Detroit Pistons,4767000,2021
224,Garrett Temple,Chicago Bulls,4767000,2021
225,Kris Dunn,Atlanta Hawks,4767000,2021
226,Rui Hachimura,Washington Wizards,4692840,2021
227,Denzel Valentine,Chicago Bulls,4642800,2021
228,Kevin Knox II,New York Knicks,4588680,2021
